Tipo convocatoria;Id convocatoria;ccaa;prv;circunscripcion;municipio;distrito;candidatura;votos;votos validos;votos censo;votos candidaturas;tipo de representante;representantes
4;202305;;;;;;PARTIDO POPULAR;7.065.368;31,57;19,88;32,01;Concejales;23429
4;202305;;;;;;PARTIDO SOCIALISTA OBRERO ESPAÑOL;6.296.230;28,13;17,72;28,52;Concejales;20789
4;202305;;;;;;VOX;1.605.961;7,18;4,52;7,28;Concejales;1671
4;202305;;;;;;COMPROMÍS MUNICIPAL;553.872;2,47;1,56;2,51;Concejales;2687
4;202305;;;;;;ACORD MUNICIPAL;526.242;2,35;1,48;2,38;Concejales;2906
4;202305;;;;;;MÁS MADRID-VERDES EQUO;389.359;1,74;1,1;1,76;Concejales;67
4;202305;;;;;;EUSKAL HERRIA BILDU;365.898;1,63;1,03;1,66;Concejales;1397
4;202305;;;;;;COMPROMÍS: ACORD PER GUANYAR;332.371;1,49;0,94;1,51;Concejales;673
4;202305;;;;;;EUZKO ALDERDI JELTZALEA- PARTIDO NACIONALISTA VASCO;323.274;1,44;0,91;1,46;Concejales;988
4;202305;;;;;;CIUDADANOS-PARTIDO DE LA CIUDADANIA;301.458;1,35;0,85;1,37;Concejales;391
4;202305;;;;;;CONFLUÈNCIA;266.739;1,19;0,75;1,21;Concejales;244
4;202305;;;;;;CON ANDALUCÍA;253.896;1,13;0,71;1,15;Concejales;549
4;202305;;;;;;BLOQUE NACIONALISTA GALEGO;249.078;1,11;0,7;1,13;Concejales;591
4;202305;;;;;;PODEMOS-IZQUIERDA UNIDA;222.441;0,99;0,63;1,01;Concejales;121
4;202305;;;;;;COALICION CANARIA;167.624;0,75;0,47;0,76;Concejales;303
4;202305;;;;;;UNIDAS;135.196;0,6;0,38;0,61;Concejales;206
4;202305;;;;;;ALTERNATIVA MUNICIPALISTA;134.753;0,6;0,38;0,61;Concejales;315
4;202305;;;;;;IZQUIERDA UNIDA;84.886;0,38;0,24;0,38;Concejales;205
4;202305;;;;;;UNION DEL PUEBLO NAVARRO;82.037;0,37;0,23;0,37;Concejales;250
4;202305;;;;;;NUEVA CANARIAS-FRENTE AMPLIO CANARISTA;75.098;0,34;0,21;0,34;Concejales;118
4;202305;;;;;;CONVOCATORIA POR (NOMBRE DEL CONCEJO) IU-MÁS PAÍS-IAS;64.643;0,29;0,18;0,29;Concejales;119
